AREA_NAME,AREA_CODE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hartlepool,E06000001,0.374024349,0.391385559,0.39426638,0.376126724,0.384335928,0.38647277,0.367490738,0.370539908,0.380947054,0.383327447
Middlesbrough,E06000002,0.338093169,0.348548645,0.344966934,0.355281521,0.352853495,0.371443444,0.360271106,0.361349,0.391884279,0.380464944
Redcar and Cleveland,E06000003,0.383461793,0.4016855,0.392459107,0.385507245,0.39396616,0.378731659,0.390507266,0.397099408,0.389449077,0.384806526
Stockton-on-Tees,E06000004,0.277527118,0.286282567,0.288478965,0.264600368,0.277264073,0.288052029,0.29656215,0.275744158,0.279588005,0.275719028
Darlington,E06000005,0.320553941,0.323616354,0.32304511,0.313354752,0.323342554,0.340839199,0.317831072,0.332681879,0.336817601,0.32800839
County Durham,E06000047,0.276288493,0.303412403,0.300306691,0.288525853,0.287179319,0.294128535,0.293830773,0.302836646,0.291117881,0.291144706
Northumberland,E06000057,0.29604993,0.306396002,0.317890365,0.300579277,0.304888141,0.304801763,0.312699522,0.302323922,0.296258957,0.291963457
Newcastle upon Tyne,E08000021,0.308096693,0.310681318,0.301552472,0.302039582,0.298260262,0.306187609,0.311778818,0.303705623,0.311240059,0.303344842
North Tyneside,E08000022,0.312611181,0.309546815,0.321324836,0.340261776,0.320242655,0.332158529,0.330718728,0.33180693,0.332226572,0.325835114
South Tyneside,E08000023,0.337693195,0.343638497,0.331814669,0.327935366,0.324357298,0.343092349,0.335149796,0.324428985,0.343246787,0.326465535
Sunderland,E08000024,0.320601873,0.329661788,0.334624359,0.32485508,0.321689418,0.34063104,0.323057912,0.320863967,0.333602741,0.326251647
Gateshead,E08000037,0.288788894,0.30337066,0.30958702,0.319417441,0.299606673,0.298368662,0.292207342,0.304645743,0.309171585,0.308654589
Halton,E06000006,0.34650754,0.371828149,0.381072415,0.386400922,0.385541098,0.388589502,0.375961794,0.361628008,0.374848047,0.369876207
Warrington,E06000007,0.295079646,0.322829975,0.321025726,0.314915919,0.318632979,0.32948205,0.32197651,0.319172535,0.355785664,0.353155884
Blackburn with Darwen,E06000008,0.339891242,0.341974937,0.329159288,0.335874423,0.320540194,0.329126041,0.331271174,0.349980989,0.3480704,0.351188943
Blackpool,E06000009,0.369703124,0.37278259,0.355272276,0.367009248,0.370286516,0.380732522,0.376573097,0.377481201,0.372744165,0.38893262
Cheshire East,E06000049,0.238182058,0.23764137,0.237916504,0.238647259,0.233509869,0.252129933,0.251448771,0.239577876,0.259040543,0.246898083
Cheshire West and Chester,E06000050,0.239364804,0.239161335,0.24013135,0.245540594,0.236960205,0.237173718,0.23496344,0.250935266,0.238014077,0.242721622
Cumberland,E06000063,0.300396011,0.295823344,0.29988941,0.305831673,0.300305713,0.304256654,0.30249239,0.298806738,0.29866421,0.300874359
Westmorland and Furness,E06000064,0.325979482,0.327703597,0.309543207,0.322462675,0.30842915,0.32933694,0.326751147,0.339400676,0.348612789,0.353392784
Burnley,E07000117,0.338910031,0.341435573,0.352755628,0.349634681,0.344649454,0.348111689,0.339838518,0.33937004,0.340731553,0.355784651
Chorley,E07000118,0.306071315,0.312671467,0.318551203,0.319272909,0.305994812,0.329545424,0.314005139,0.32050922,0.310763223,0.304493598
Fylde,E07000119,0.461622328,0.4371921,0.441768024,0.420417317,0.38857656,0.416178085,0.403585095,0.412606142,0.430737647,0.414863328
Hyndburn,E07000120,0.394594281,0.386094049,0.399560146,0.422997736,0.407058496,0.418156161,0.400375088,0.418338457,0.402857606,0.422658478
Lancaster,E07000121,0.290906106,0.297236722,0.29164276,0.306706342,0.291459006,0.306923694,0.285942221,0.288189666,0.304229748,0.320080983
Pendle,E07000122,0.403003618,0.393686489,0.399526315,0.419711875,0.401170448,0.412953117,0.383326516,0.413360198,0.411525932,0.407174307
Preston,E07000123,0.308267563,0.304120909,0.313017078,0.316688806,0.314383883,0.311897886,0.315965097,0.332121711,0.331433288,0.328141943
Ribble Valley,E07000124,0.406082252,0.421757175,0.407932203,0.400581793,0.398881059,0.412453587,0.409602579,0.409152562,0.420832233,0.407652896
Rossendale,E07000125,0.451820467,0.435559184,0.405376452,0.449858098,0.417125702,0.404258102,0.414094336,0.401683015,0.406940533,0.41446586
South Ribble,E07000126,0.393762261,0.390207395,0.412664847,0.425672463,0.42750323,0.426621449,0.37337146,0.371249006,0.354766183,0.366052932
West Lancashire,E07000127,0.3311657,0.335161473,0.3150545,0.330131961,0.335372491,0.324247002,0.338685316,0.343160239,0.343406924,0.35060094
Wyre,E07000128,0.37143698,0.357508192,0.351978741,0.38510908,0.375442249,0.359200238,0.371453881,0.384384331,0.399162489,0.406437177
Bolton,E08000001,0.23092789,0.24571402,0.255696019,0.258214174,0.260382012,0.266959882,0.263215483,0.250678448,0.252386809,0.256624934
Bury,E08000002,0.299088696,0.303144873,0.291774889,0.309956882,0.307939462,0.301419129,0.295540452,0.291730189,0.311573474,0.305501661
Manchester,E08000003,0.275340307,0.287483986,0.276712306,0.283549509,0.282247218,0.288318801,0.288072337,0.289654905,0.288762109,0.283231988
Oldham,E08000004,0.303902844,0.303799492,0.317445814,0.313161094,0.294787563,0.286007242,0.294997323,0.306771014,0.319382227,0.323279785
Rochdale,E08000005,0.315033387,0.323477479,0.325753871,0.349573092,0.332972476,0.333103543,0.32555621,0.308333491,0.321019138,0.329504992
Salford,E08000006,0.282029607,0.271413903,0.265695752,0.271749042,0.286457542,0.280290051,0.288304004,0.317042422,0.337015132,0.328778451
Stockport,E08000007,0.237605423,0.24658469,0.244335481,0.258368763,0.251014202,0.251409491,0.262015116,0.243027099,0.25320165,0.249353715
Tameside,E08000008,0.311968078,0.323242752,0.31293717,0.322022318,0.3188324,0.320155469,0.311276357,0.316861781,0.305638253,0.315491431
Trafford,E08000009,0.319243521,0.316296152,0.323559511,0.335692712,0.334844942,0.340472742,0.364409796,0.365477753,0.355092863,0.351720563
Wigan,E08000010,0.276511931,0.270990842,0.275333269,0.279152896,0.282381533,0.272307182,0.276857285,0.276455202,0.285372266,0.288039567
Knowsley,E08000011,0.391039704,0.393928959,0.394894715,0.398647845,0.416271679,0.401819608,0.436351087,0.411180537,0.371698465,0.376987318
Liverpool,E08000012,0.251321608,0.246985368,0.245612191,0.256781094,0.256755741,0.265675118,0.262771652,0.261415513,0.257899823,0.261947447
St. Helens,E08000013,0.332602471,0.335405279,0.344923524,0.334361884,0.332110697,0.323652587,0.323045122,0.317841826,0.324494376,0.34545728
Sefton,E08000014,0.284731001,0.27687023,0.273223701,0.294116639,0.279897347,0.293106456,0.291790435,0.293443683,0.295937745,0.288456891
Wirral,E08000015,0.294243736,0.281310899,0.285011527,0.27809863,0.286627225,0.292773879,0.289026849,0.291028873,0.285828319,0.292848124
"Kingston upon Hull, City of",E06000010,0.285909926,0.286556272,0.277811728,0.273189585,0.286659163,0.289695795,0.286451925,0.295069431,0.298824071,0.29534969
East Riding of Yorkshire,E06000011,0.292140063,0.301662156,0.290733729,0.277227637,0.280688885,0.287381665,0.282468994,0.294677781,0.28552652,0.277912444
North East Lincolnshire,E06000012,0.325990403,0.336825426,0.339944786,0.342312414,0.335557949,0.349274883,0.352420637,0.355315561,0.34797692,0.345427679
North Lincolnshire,E06000013,0.359860648,0.370751685,0.360020305,0.369588241,0.371090378,0.377333642,0.37928812,0.38610817,0.38195957,0.364273548
York,E06000014,0.271700344,0.272858312,0.27771206,0.28073135,0.277763529,0.280049673,0.283288326,0.293668811,0.290739141,0.303510831
North Yorkshire,E06000065,0.244697581,0.254912748,0.243536641,0.233884272,0.236513275,0.250021183,0.254673748,0.24831438,0.247044552,0.244609912
Barnsley,E08000016,0.330447152,0.341145513,0.322432498,0.328395084,0.338120855,0.334395447,0.307528616,0.318858789,0.310788302,0.295822358
Doncaster,E08000017,0.301723958,0.297669348,0.292855254,0.294026211,0.295115176,0.30075596,0.300010817,0.30167845,0.301905943,0.296984693
Rotherham,E08000018,0.314277916,0.305209653,0.293650511,0.300184612,0.294123368,0.306064489,0.295320333,0.308886347,0.292257506,0.288487937
Sheffield,E08000019,0.238406206,0.230947771,0.227404956,0.221368903,0.219269704,0.234311839,0.231502573,0.22953408,0.226748476,0.229472357
Bradford,E08000032,0.250458937,0.250728522,0.255280303,0.254637279,0.256557386,0.255190837,0.256925093,0.267440542,0.243645187,0.25069408
Calderdale,E08000033,0.328619022,0.331533036,0.29734012,0.30094496,0.300610875,0.303647176,0.313516523,0.318161754,0.319464572,0.317345784
Kirklees,E08000034,0.263973694,0.25915946,0.260501336,0.254734236,0.259544732,0.266054888,0.259701809,0.273428342,0.265095099,0.265790347
Leeds,E08000035,0.21323696,0.209360949,0.202601706,0.206799365,0.208736019,0.207389093,0.213386355,0.214793478,0.196587896,0.197092687
Wakefield,E08000036,0.27161422,0.280335565,0.278060849,0.279335403,0.293307922,0.294481843,0.282541156,0.299771848,0.286502891,0.282994069
Derby,E06000015,0.275828723,0.277188908,0.275559078,0.277935004,0.313836324,0.311126977,0.29522194,0.291723712,0.295098765,0.288660778
Leicester,E06000016,0.317590618,0.326306598,0.311718805,0.296077881,0.31547974,0.301037801,0.278775649,0.295840054,0.289810901,0.293640257
Rutland,E06000017,0.446136027,0.454544159,0.468330515,0.454620304,0.458207755,0.458839796,0.440908202,0.458744399,0.445696743,0.462578816
Nottingham,E06000018,0.361412608,0.354491549,0.302955748,0.295885648,0.305097747,0.313779265,0.297753594,0.302777433,0.312588365,0.309957808
North Northamptonshire,E06000061,0.300098375,0.314739681,0.323779835,0.314206529,0.321259538,0.318827626,0.299317072,0.286543687,0.315164862,0.295266669
West Northamptonshire,E06000062,0.230986171,0.235044672,0.248499848,0.239384174,0.243337103,0.246465939,0.258328872,0.24417699,0.25918377,0.245854587
Amber Valley,E07000032,0.390681891,0.385255336,0.385429381,0.380905596,0.386151039,0.374689002,0.358561825,0.353458893,0.380811546,0.355453527
Bolsover,E07000033,0.495708225,0.467247676,0.465531389,0.446032675,0.444940534,0.449342276,0.442374497,0.462534103,0.459161439,0.48039897
Chesterfield,E07000034,0.318452188,0.321630129,0.32399804,0.311211185,0.305961695,0.320568561,0.301361382,0.318851771,0.330334189,0.329090554
Derbyshire Dales,E07000035,0.399113968,0.429280532,0.41495659,0.407291179,0.408634856,0.412368997,0.418469203,0.426842714,0.427171584,0.423029689
Erewash,E07000036,0.391304758,0.39235035,0.390065786,0.383314289,0.3871574,0.378071441,0.373727728,0.390981619,0.396689326,0.372128338
High Peak,E07000037,0.359863853,0.369448333,0.369446524,0.357585165,0.370233195,0.372206623,0.376705729,0.370568237,0.379544049,0.36597771
North East Derbyshire,E07000038,0.416171301,0.415068785,0.415285187,0.417901031,0.415858217,0.399164401,0.354298444,0.40370245,0.406000389,0.391857831
South Derbyshire,E07000039,0.425324643,0.424011822,0.419542963,0.417164292,0.412140425,0.40704902,0.401185019,0.409440535,0.409310464,0.38978322
Blaby,E07000129,0.405877525,0.411203587,0.418871595,0.422482318,0.425822383,0.407978857,0.420122057,0.414732275,0.420389806,0.418007033
Charnwood,E07000130,0.323246189,0.313787947,0.299289705,0.313604857,0.313009581,0.320908806,0.312390439,0.327713137,0.321742639,0.317067283
Harborough,E07000131,0.353218909,0.359650117,0.345527084,0.352096934,0.363444387,0.368961529,0.355172159,0.363087979,0.366414913,0.346777685
Hinckley and Bosworth,E07000132,0.387821102,0.390746625,0.393276763,0.396337001,0.404727606,0.402680289,0.397198403,0.389966516,0.392793371,0.386231804
Melton,E07000133,0.414837794,0.411119857,0.40728746,0.403221102,0.4228713,0.425300152,0.409284281,0.426814879,0.420135309,0.426103845
North West Leicestershire,E07000134,0.416463631,0.409279156,0.420199649,0.408227179,0.408375101,0.450835694,0.45273531,0.437604963,0.464630124,0.453639514
