AREA_NAME,AREA_CODE,2015,2016,2017,2018,2019,2020,2021,2022,2023
Hartlepool,E06000001,70.8927984,78.13543006,76.34376002,74.15509459,69.22602566,76.64787624,65.16984955,74.7261777,73.67109334
Middlesbrough,E06000002,77.08185583,82.7976859,80.85297678,86.26833275,81.09118432,73.28238255,78.63508708,80.15889963,78.21320727
Redcar and Cleveland,E06000003,76.8563976,74.53866552,69.74203317,68.0822608,73.48235161,74.68967925,69.37337426,75.70638495,70.84419766
Stockton-on-Tees,E06000004,105.453724,110.944068,100.0311036,101.4346822,99.24208793,99.68825379,102.6003502,103.0193854,102.0656543
Darlington,E06000005,73.95053786,74.93033114,75.85570919,79.30052873,75.88848939,73.96094994,73.62790533,74.23587979,74.6974951
County Durham,E06000047,78.0277316,80.63760922,75.45835922,76.65302694,77.4115954,86.41777682,82.00594243,85.15242776,83.60549735
Northumberland,E06000057,83.22884506,83.89617161,78.84581275,81.95736862,85.13787317,86.11068695,83.00766391,83.29784782,83.35379831
Newcastle upon Tyne,E08000021,82.52968976,82.85871102,83.21143595,80.38722066,80.71390589,77.78081222,79.59742316,87.4136818,85.23102828
North Tyneside,E08000022,77.36294899,80.85115112,79.79496521,84.97668243,84.30627353,87.27664052,90.99329137,93.31573031,95.77142667
South Tyneside,E08000023,70.7810466,77.95295217,73.12993788,71.96364088,72.63692357,69.75203167,71.42952684,73.99162061,74.46061284
Sunderland,E08000024,97.99318727,98.40501895,95.66580402,95.48640157,97.44268413,89.36969198,86.06836076,91.40816026,89.25817956
Gateshead,E08000037,72.33614231,76.35461946,75.91801161,71.33490137,75.52580586,73.06489706,77.49635574,75.19172507,75.61358426
Halton,E06000006,110.0402001,105.3641504,102.9687,104.8720442,106.3321236,104.2965139,111.4391552,108.7324846,108.4549593
Warrington,E06000007,93.34716402,86.57010328,90.24290991,90.3472105,90.94901477,96.31616977,97.37138335,97.24553186,90.73870378
Blackburn with Darwen,E06000008,78.02183384,76.59071642,81.7278482,74.3898637,78.79444673,77.02963275,81.13608332,79.18450863,83.61072348
Blackpool,E06000009,72.84310956,76.40787099,77.53457559,78.40014854,76.12766973,68.55316087,69.0565406,73.72554101,72.74833465
Cheshire East,E06000049,118.0058201,117.4142219,112.8371493,118.7059499,114.2589798,118.8932017,112.4056307,111.5330076,111.6643194
Cheshire West and Chester,E06000050,107.0923264,109.0152873,108.3899292,108.6565424,110.6780326,107.3893756,110.3307953,107.5897502,114.0944735
Cumberland,E06000063,85.8302728,84.04913191,78.24352254,75.85282384,75.1074759,70.06553473,68.07820639,73.84114124,72.23805704
Westmorland and Furness,E06000064,78.91679964,76.73931502,83.74218375,81.54268667,81.52981255,83.87925658,89.45010511,89.62134781,89.63890528
